Date,Time,CO(GT),PT08.S1(CO),NMHC(GT)
10/03/2004,18.00.00,2,6,1360
10/03/2004,19.00.00,2,1292,112
10/03/2004,20.00.00,2,2,1402
10/03/2004,21.00.00,2,2,1376
10/03/2004,22.00.00,1,6,1272
10/03/2004,23.00.00,1,2,1197
11/03/2004,00.00.00,1,2,1185
11/03/2004,01.00.00,1,1136,31
11/03/2004,02.00.00,0,9,1094
11/03/2004,03.00.00,0,6,1010
11/03/2004,04.00.00,-200,1011,14
11/03/2004,05.00.00,0,7,1066
11/03/2004,06.00.00,0,7,1052
11/03/2004,07.00.00,1,1,1144
11/03/2004,08.00.00,2,1333,64
11/03/2004,09.00.00,2,2,1351
11/03/2004,10.00.00,1,7,1233
11/03/2004,11.00.00,1,5,1179
11/03/2004,12.00.00,1,6,1236
11/03/2004,13.00.00,1,9,1286
11/03/2004,14.00.00,2,9,1371
11/03/2004,15.00.00,2,2,1310
11/03/2004,16.00.00,2,2,1292
11/03/2004,17.00.00,2,9,1383
11/03/2004,18.00.00,4,8,1581
11/03/2004,19.00.00,6,9,1776
11/03/2004,20.00.00,6,1,1640
11/03/2004,21.00.00,3,9,1313
11/03/2004,22.00.00,1,5,965
11/03/2004,23.00.00,1,913,26
12/03/2004,00.00.00,1,7,1080
12/03/2004,01.00.00,1,9,1044
12/03/2004,02.00.00,1,4,988
12/03/2004,03.00.00,0,8,889
12/03/2004,04.00.00,-200,831,10
12/03/2004,05.00.00,0,6,847
12/03/2004,06.00.00,0,8,927
12/03/2004,07.00.00,1,4,1091
12/03/2004,08.00.00,4,4,1587
12/03/2004,09.00.00,-200,1545,-200
12/03/2004,10.00.00,3,1,1350
12/03/2004,11.00.00,2,7,1263
12/03/2004,12.00.00,2,1,1206
12/03/2004,13.00.00,2,5,1252
12/03/2004,14.00.00,2,7,1287
12/03/2004,15.00.00,2,9,1353
12/03/2004,16.00.00,2,8,1309
12/03/2004,17.00.00,2,4,1274
12/03/2004,18.00.00,3,9,1510
12/03/2004,19.00.00,3,7,1525
12/03/2004,20.00.00,6,6,1843
12/03/2004,21.00.00,4,4,1598
12/03/2004,22.00.00,3,5,1484
12/03/2004,23.00.00,5,4,1677
13/03/2004,00.00.00,2,7,1280
13/03/2004,01.00.00,1,9,1196
13/03/2004,02.00.00,1,6,1184
13/03/2004,03.00.00,1,7,1172
13/03/2004,04.00.00,-200,1147,56
13/03/2004,05.00.00,1,978,30
13/03/2004,06.00.00,1,2,1100
13/03/2004,07.00.00,1,5,1112
13/03/2004,08.00.00,2,7,1336
13/03/2004,09.00.00,3,7,1408
13/03/2004,10.00.00,3,2,1447
13/03/2004,11.00.00,4,1,1542
13/03/2004,12.00.00,3,6,1451
13/03/2004,13.00.00,2,8,1328
13/03/2004,14.00.00,2,1207,112
13/03/2004,15.00.00,2,1240,108
13/03/2004,16.00.00,2,5,1306
13/03/2004,17.00.00,2,3,1326
13/03/2004,18.00.00,3,2,1473
13/03/2004,19.00.00,4,2,1609
13/03/2004,20.00.00,4,2,1611
13/03/2004,21.00.00,4,2,1621
13/03/2004,22.00.00,3,1,1444
13/03/2004,23.00.00,2,6,1418
14/03/2004,00.00.00,2,9,1534
14/03/2004,01.00.00,2,8,1484
14/03/2004,02.00.00,2,5,1367
14/03/2004,03.00.00,2,4,1344
14/03/2004,04.00.00,-200,1130,56
14/03/2004,05.00.00,1,2,1062
14/03/2004,06.00.00,1,1076,29
14/03/2004,07.00.00,0,9,1028
14/03/2004,08.00.00,1,4,1155
14/03/2004,09.00.00,1,6,1235
14/03/2004,10.00.00,2,2,1332
14/03/2004,11.00.00,2,8,1445
14/03/2004,12.00.00,2,8,1416
14/03/2004,13.00.00,2,1281,93
14/03/2004,14.00.00,1,8,1207
14/03/2004,15.00.00,1,9,1258
14/03/2004,16.00.00,3,1458,150
14/03/2004,17.00.00,2,9,1438
14/03/2004,18.00.00,2,5,1478
14/03/2004,19.00.00,4,6,1808
14/03/2004,20.00.00,5,9,1898
14/03/2004,21.00.00,3,4,1560
14/03/2004,22.00.00,2,1,1324
14/03/2004,23.00.00,2,2,1349
15/03/2004,00.00.00,1,8,1239
15/03/2004,01.00.00,1,8,1239
15/03/2004,02.00.00,1,8,1224
15/03/2004,03.00.00,1,1,1078
15/03/2004,04.00.00,-200,1078,44
15/03/2004,05.00.00,1,1075,39
15/03/2004,06.00.00,1,4,1157
15/03/2004,07.00.00,2,2,1314
15/03/2004,08.00.00,5,5,1797
15/03/2004,09.00.00,8,1,1961
15/03/2004,10.00.00,5,8,1771
15/03/2004,11.00.00,4,2,1564
15/03/2004,12.00.00,3,1,1430
15/03/2004,13.00.00,2,9,1417
15/03/2004,14.00.00,2,9,1400
15/03/2004,15.00.00,2,5,1317
15/03/2004,16.00.00,2,3,1318
15/03/2004,17.00.00,2,8,1445
15/03/2004,18.00.00,6,1,1917
15/03/2004,19.00.00,8,2040,685
15/03/2004,20.00.00,6,5,1895
15/03/2004,21.00.00,4,2,1595
15/03/2004,22.00.00,3,2,1439
15/03/2004,23.00.00,1,4,1142
16/03/2004,00.00.00,2,1,1304
16/03/2004,01.00.00,1,2,1074
16/03/2004,02.00.00,0,8,968
16/03/2004,03.00.00,0,7,929
16/03/2004,04.00.00,-200,941,25
16/03/2004,05.00.00,0,6,937
16/03/2004,06.00.00,0,9,1017
16/03/2004,07.00.00,1,3,1171
16/03/2004,08.00.00,3,4,1541
16/03/2004,09.00.00,3,7,1539
