Batsman,Batsman_Name,Bowler,Bowler_Name,Commentary,Detail,Dismissed,Id,Isball,Isboundary,Iswicket,Over,Runs,Timestamp
28994,Mohammed Shami,63881,Mustafizur Rahman,"OUT! Bowled! 5-fer to finish a tremendous last over. His 4th 5-wicket haul in ODIs. Around off, Shami moves across to paddle but misses the ball hits his pads and goes onto hit the stumps. 2 wickets and just 3 runs from the final over. Top notch from Mustafizur. INDIA FINISH WITH 314/9 FROM THEIR 50 OVERS.",W,28994,346,True,,1,49.6,0,2019-07-02 13:18:47
5132,Bhuvneshwar Kumar,63881,Mustafizur Rahman,"WIDE AND RUN OUT! Slower delivery outside off, it is on the wrong side of the tramline. Shami comes for a run. Bhuvi was slow though. Rahim throws it to Mustafizur, who hits the stumps at the bowler's end. The umpire takes it upstairs but Bhuvneshwar had started to walk back even before the replays rolled in.",W+wd,5132,344,True,,1,49.6,1,2019-07-02 13:17:28
28994,Mohammed Shami,63881,Mustafizur Rahman,"Back of a length ball on off, Shami pulls it to deep mid-wicket and gets a single.",,,343,True,,,49.5,1,2019-07-02 13:16:03
5132,Bhuvneshwar Kumar,63881,Mustafizur Rahman,"Just 1 run off the 4 balls. This is World Class stuff. Good length ball on off, Kumar punches it to the side of the pitch and gets a single.",,,342,True,,,49.4,1,2019-07-02 13:15:17
3676,MS Dhoni,63881,Mustafizur Rahman,"OUT! No Dhoni magic in the last over. Slower bouncer away from the body, Dhoni looks to flat-bat it straight over the bowler's head. It comes off the upper half of his bat and goes to the left of mid on. Shakib moves across to his left hand side and takes an easy catch.",W,3676,340,True,,1,49.3,0,2019-07-02 13:13:39
3676,MS Dhoni,63881,Mustafizur Rahman,"Another dot. Bangladesh will take this. Short and slow, Dhoni pulls it to Shakib at short mid-wicket.",,,339,True,,,49.2,0,2019-07-02 13:12:47
3676,MS Dhoni,63881,Mustafizur Rahman,"Good length ball on off, Dhoni flat-bats it towards long off but refuses to take a single.",,,338,True,,,49.1,0,2019-07-02 13:12:21
3676,MS Dhoni,64151,Mohammad Saifuddin,"Good length ball on off, Dhoni comes down the track and pushes it towards cover to get a single.",,,337,True,,,48.6,1,2019-07-02 13:10:58
3676,MS Dhoni,64151,Mohammad Saifuddin,"FOUR! Dhoni rolling back the years and silencing his critics here. Slower delivery around off, Dhoni cuts it and pierces the gap through point for a boundary.",,,336,True,1,,48.5,4,2019-07-02 13:10:12
3676,MS Dhoni,64151,Mohammad Saifuddin,"Slower delivery outside off, Dhoni swings his bat at this but misses.",,,335,True,,,48.4,0,2019-07-02 13:09:46
3676,MS Dhoni,64151,Mohammad Saifuddin,"Fuller on off, Dhoni drives it but finds mid off.",,,334,True,,,48.3,0,2019-07-02 13:09:06
3676,MS Dhoni,64151,Mohammad Saifuddin,"FOUR! Driven with brutality! Length ball around off, Dhoni uses his bottom hand and drives it with power through covers for a boundary.",,,333,True,1,,48.2,4,2019-07-02 13:08:18
